iter	Passed	Remaining
433	1528	1993
434	1531	1989
435	1535	1985
436	1538	1982
437	1543	1980
438	1546	1976
439	1550	1973
440	1553	1969
441	1556	1965
442	1560	1962
443	1563	1958
444	1567	1954
445	1570	1951
446	1574	1947
447	1577	1943
448	1580	1939
449	1583	1935
450	1587	1932
451	1591	1929
452	1594	1925
453	1598	1921
454	1601	1918
455	1604	1914
456	1608	1910
457	1611	1907
458	1614	1903
459	1618	1899
460	1621	1896
461	1625	1892
462	1628	1888
463	1632	1885
464	1635	1881
465	1638	1878
466	1642	1874
467	1645	1870
468	1648	1866
469	1651	1862
470	1656	1860
471	1660	1857
472	1663	1853
473	1667	1849
474	1671	1846
475	1674	1842
476	1677	1839
477	1680	1835
478	1684	1832
479	1687	1828
480	1691	1824
481	1694	1820
482	1697	1817
483	1700	1813
484	1703	1809
485	1707	1805
486	1710	1801
487	1713	1798
488	1716	1793
489	1719	1789
490	1723	1786
491	1726	1782
492	1729	1778
493	1732	1774
494	1735	1770
495	1738	1766
496	1741	1762
497	1744	1758
498	1748	1755
499	1751	1751
500	1754	1747
501	1757	1743
502	1760	1739
503	1763	1735
504	1766	1731
505	1769	1727
506	1772	1723
507	1776	1720
508	1779	1716
509	1782	1712
510	1785	1709
511	1789	1705
512	1793	1702
513	1796	1698
514	1799	1694
515	1803	1691
516	1806	1687
517	1810	1684
518	1813	1680
519	1817	1678
520	1821	1674
521	1825	1671
522	1828	1667
523	1831	1664
524	1834	1659
525	1838	1656
526	1841	1652
527	1844	1649
528	1849	1646
529	1852	1642
530	1855	1638
531	1858	1635
532	1861	1631
533	1865	1627
534	1868	1623
535	1871	1620
536	1875	1616
537	1878	1613
538	1881	1609
539	1885	1605
540	1888	1602
541	1892	1598
542	1895	1595
543	1899	1591
544	1902	1588
545	1906	1585
546	1909	1581
547	1912	1577
548	1915	1573
549	1918	1570
550	1922	1566
551	1925	1562
552	1929	1559
553	1932	1555
554	1935	1552
555	1940	1549
556	1942	1545
557	1946	1541
558	1949	1538
559	1952	1534
560	1957	1531
561	1960	1527
562	1963	1524
563	1966	1520
564	1970	1517
565	1973	1513
566	1976	1509
567	1980	1506
568	1983	1502
569	1987	1499
570	1990	1495
571	1994	1492
572	1997	1488
573	2000	1484
574	2004	1481
575	2007	1477
576	2010	1474
577	2014	1470
578	2017	1467
579	2020	1463
580	2024	1459
581	2027	1456
582	2031	1453
583	2035	1449
584	2037	1445
585	2041	1442
586	2044	1438
587	2047	1434
588	2051	1431
589	2054	1427
590	2057	1424
591	2061	1420
592	2064	1416
593	2067	1413
594	2070	1409
595	2074	1405
596	2077	1402
597	2080	1398
598	2084	1395
599	2087	1391
600	2090	1387
601	2093	1384
602	2097	1381
603	2101	1377
604	2104	1373
605	2107	1370
606	2110	1366
607	2114	1363
608	2117	1359
609	2120	1355
610	2124	1352
611	2127	1349
612	2131	1345
613	2134	1342
614	2138	1338
615	2141	1335
616	2145	1331
617	2148	1328
618	2153	1325
619	2156	1321
620	2159	1318
621	2162	1314
622	2166	1310
623	2170	1307
624	2174	1304
625	2177	1300
626	2181	1297
627	2184	1294
628	2187	1290
629	2190	1286
630	2193	1282
631	2197	1279
632	2200	1275
633	2203	1272
634	2206	1268
635	2210	1264
636	2213	1261
637	2216	1257
638	2220	1254
639	2223	1250
640	2227	1247
641	2230	1243
642	2234	1240
643	2237	1236
644	2240	1232
645	2243	1229
646	2246	1225
647	2249	1222
648	2252	1218
649	2255	1214
650	2258	1210
651	2261	1207
652	2264	1203
653	2268	1200
654	2272	1196
655	2276	1193
656	2279	1190
657	2283	1186
658	2286	1183
659	2289	1179
660	2292	1175
661	2296	1172
662	2299	1169
663	2303	1165
664	2306	1162
665	2309	1158
666	2312	1154
667	2316	1151
668	2319	1147
669	2323	1144
670	2326	1140
671	2330	1137
672	2333	1133
673	2336	1130
674	2339	1126
675	2343	1123
676	2347	1119
677	2350	1116
678	2353	1112
679	2357	1109
680	2361	1106
681	2365	1102
682	2368	1099
683	2371	1095
684	2374	1092
685	2378	1088
686	2381	1085
687	2385	1081
688	2388	1078
689	2392	1074
690	2396	1071
691	2400	1068
692	2403	1064
693	2407	1061
694	2411	1058
695	2414	1054
696	2417	1051
697	2421	1047
698	2424	1044
699	2427	1040
700	2431	1037
701	2435	1033
702	2438	1030
703	2442	1026
704	2445	1023
705	2449	1020
706	2453	1016
707	2456	1013
708	2459	1009
709	2463	1006
710	2467	1002
711	2470	999
712	2473	995
713	2477	992
714	2480	988
715	2483	985
716	2487	981
717	2490	978
718	2493	974
719	2496	970
720	2499	967
721	2502	963
722	2506	960
723	2509	956
724	2512	953
725	2515	949
726	2519	946
727	2522	942
728	2525	938
729	2528	935
730	2532	931
731	2535	928
732	2538	924
733	2542	921
734	2545	917
735	2548	914
736	2552	910
737	2555	907
738	2558	903
739	2561	900
740	2564	896
741	2567	892
742	2570	889
743	2573	885
744	2576	882
745	2580	878
746	2583	874
747	2586	871
748	2590	867
749	2593	864
750	2596	860
751	2599	857
752	2602	853
753	2605	850
754	2608	846
755	2612	843
756	2615	839
757	2618	836
758	2621	832
759	2625	828
760	2628	825
761	2631	821
762	2635	818
763	2638	814
764	2641	811
765	2644	807
766	2647	804
767	2650	800
768	2653	797
769	2656	793
770	2659	789
771	2662	786
772	2666	782
773	2669	779
774	2672	776
775	2676	772
776	2680	769
777	2683	765
778	2686	762
779	2690	758
780	2693	755
781	2696	751
782	2701	748
783	2704	745
784	2708	741
785	2711	738
786	2715	734
787	2718	731
788	2721	727
789	2725	724
790	2728	720
791	2732	717
792	2735	714
793	2739	710
794	2742	707
795	2745	703
796	2749	700
797	2752	696
798	2755	693
799	2759	689
800	2763	686
801	2766	683
802	2769	679
803	2772	675
804	2775	672
805	2779	668
806	2782	665
807	2785	661
808	2789	658
809	2792	655
810	2795	651
811	2799	648
812	2803	644
813	2806	641
814	2809	637
815	2813	634
816	2817	630
817	2820	627
818	2824	624
819	2827	620
820	2830	617
821	2834	613
822	2838	610
823	2842	607
824	2845	603
825	2848	600
826	2851	596
827	2855	593
828	2859	589
829	2862	586
830	2866	582
831	2869	579
832	2873	576
833	2876	572
834	2880	569
835	2884	565
836	2887	562
837	2891	559
838	2894	555
839	2898	552
840	2901	548
841	2905	545
842	2908	541
843	2912	538
844	2916	534
845	2919	531
846	2923	528
847	2927	524
848	2930	521
849	2933	517
850	2937	514
851	2940	510
852	2944	507
853	2948	504
