iter	Logloss
0	0.6692634727
1	0.650600007
2	0.6337116151
3	0.6194216694
4	0.6054480261
5	0.5934997981
6	0.581841423
7	0.5693660323
8	0.5610491693
9	0.5517732295
10	0.5444412909
11	0.53733634
12	0.5307068071
13	0.5249978384
14	0.5189262383
15	0.5136586081
16	0.5085721105
17	0.5046818456
18	0.5011334363
19	0.4967189715
20	0.4929688636
21	0.489521029
22	0.4858413474
23	0.4813644857
24	0.4787906278
25	0.4756630401
26	0.4734252804
27	0.4708430036
28	0.4683256502
29	0.4663593691
30	0.4641609088
31	0.4625606476
32	0.4609980785
33	0.4592593331
34	0.4577369353
35	0.4563370287
36	0.4545354653
37	0.4532648997
38	0.4515752527
39	0.4499297074
40	0.4488957127
41	0.4475803685
42	0.4463360885
43	0.4452495731
44	0.4436632589
45	0.4423054597
46	0.4407483912
47	0.4397832803
48	0.4388553349
49	0.4370630405
50	0.4360153885
51	0.4351853621
52	0.4345088775
53	0.4331869061
54	0.4322047396
55	0.4311244397
56	0.4302456428
57	0.4294774591
58	0.4284612601
59	0.4276826902
60	0.4266427928
61	0.4257584319
62	0.4250943299
63	0.4244797765
64	0.4237563597
65	0.4226469127
66	0.4219233649
67	0.4209895039
68	0.4200410039
69	0.4195046924
70	0.4187247313
71	0.4178201045
72	0.417233042
73	0.4165818496
74	0.4156857004
75	0.4147879159
76	0.4143354157
77	0.4133489149
78	0.4126149523
79	0.4119896382
80	0.411480322
81	0.4110534494
82	0.4104666732
83	0.4097417017
84	0.4093139023
85	0.4087161856
86	0.4081919155
87	0.4076928046
88	0.407096733
89	0.4062205352
90	0.4057028845
91	0.4049855266
92	0.4042707015
93	0.4034694227
94	0.4026622895
95	0.4020870599
96	0.4014773009
97	0.4011711887
98	0.4005327893
99	0.3999193946
100	0.3994231889
101	0.3991763397
102	0.3986763988
103	0.3981044993
104	0.3976070232
105	0.3966444977
106	0.395708782
107	0.3951717367
108	0.3944190295
109	0.3939765589
110	0.3930427158
111	0.3925809841
112	0.3919632381
113	0.3911475621
114	0.3908411166
115	0.3904308144
116	0.3899612012
117	0.3894580167
118	0.3891006176
119	0.3885862729
120	0.3881367879
121	0.3874964631
122	0.386962444
123	0.386533146
124	0.3860933675
125	0.3859323462
126	0.3853541092
127	0.3849511451
128	0.3842993187
129	0.3835341416
130	0.382994247
131	0.3826296861
132	0.382292825
133	0.3818211789
134	0.3812763545
135	0.3803894276
136	0.3801505834
137	0.3799343656
138	0.3796569244
139	0.3793483023
140	0.3789062309
141	0.3787544932
142	0.3781825325
143	0.3778126526
144	0.3776580831
145	0.3773703572
146	0.3767414147
147	0.3759989355
148	0.3755295534
149	0.3749063309
150	0.3745088204
151	0.3741023445
152	0.3738087369
153	0.3735450014
154	0.3730014182
155	0.3727636638
156	0.372323861
157	0.3718148224
158	0.3713947203
159	0.3712457493
160	0.3708643436
161	0.370501298
162	0.3699452661
163	0.369157681
164	0.3684575284
165	0.3679682844
166	0.3676643172
167	0.3673238619
168	0.3668048509
169	0.3663525142
170	0.3661856701
171	0.3656289964
172	0.3650665416
173	0.3644166684
174	0.3640191565
175	0.3638282675
176	0.3632909513
177	0.3631146039
178	0.3625739385
179	0.36208965
180	0.361620239
181	0.3612781984
182	0.3608687531
183	0.3604356433
184	0.359885008
185	0.3594343986
186	0.3589709186
187	0.3586528305
188	0.3584472796
189	0.3582175681
190	0.3578241683
191	0.3574233565
192	0.3568099429
193	0.3564882997
194	0.3562820411
195	0.3557475919
196	0.3556336594
197	0.3553393577
198	0.3549910695
199	0.3546115102
200	0.3541000025
201	0.3537998792
202	0.3535522551
203	0.3534131863
204	0.352838345
205	0.3525276108
206	0.3522793481
207	0.3520618574
208	0.3515966189
209	0.3514003512
210	0.3510212115
211	0.3503676135
212	0.3496735325
213	0.3493090751
214	0.3489327978
215	0.3486894957
216	0.3483665367
217	0.3480192178
218	0.3475826774
219	0.3469679297
220	0.3466013723
221	0.3461116088
222	0.3457418242
223	0.3452906451
224	0.3450551049
225	0.3447576688
226	0.3440669915
227	0.3436904716
228	0.343232439
229	0.342897038
230	0.3426041067
231	0.3423402665
232	0.3417583025
233	0.3414022648
234	0.3408809252
235	0.3403912175
236	0.3400025385
237	0.3396553897
238	0.3394108477
239	0.3390856462
240	0.3387097768
241	0.3384895114
242	0.3379960908
243	0.3377452165
244	0.3372528312
245	0.3368993502
246	0.3366900272
247	0.336345792
248	0.3358409814
249	0.335433845
250	0.3351416664
251	0.3349544004
252	0.3345795077
253	0.3342972584
254	0.3338800622
